chunk_id,source_id,source_file,source_type,source_locator,source_page,source_section,extracted_supporting_text,claim_summary,verification_status
ckd_g5_nondialysis_007,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,28,Chapter 1,Close clinical monitoring is required in CKD stage G5 non-dialysis to identify uremic symptoms requiring initiation of renal replacement therapy.,CKD G5 non-dialysis requires close clinical supervision to detect uremic complications.,verified
ckd_g5_nondialysis_008,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Emergency signs,"Emergency medical attention is required for stage G5 non-dialysis patients presenting with severe shortness of breath, inability to breathe lying down, or signs of hyperkalemia.",Fluid overload or severe hyperkalemia in CKD G5 non-dialysis require immediate emergency care.,verified
ckd_dialysis_001,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,Nutritional needs for dialysis patients change significantly from pre-dialysis stages. The goal is replacing nutrients lost during dialysis sessions.,Nutrition for dialysis patients differs significantly from non-dialysis CKD.,verified
ckd_dialysis_002,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,Dialysis removes protein waste but also amino acids. Dialysis patients require a high protein intake of 1.0-1.2 g/kg/day to maintain nutritional status.,Dialysis patients require a high protein diet (1.0-1.2 g/kg/day) to prevent muscle wasting.,verified
ckd_dialysis_003,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,"Limit sodium to <2000 mg/d in dialysis. Excess sodium causes thirst, leading to excessive interdialytic weight gain (fluid overload) between sessions.",Sodium restriction under 2000 mg/day is required in dialysis to control fluid gain.,verified
ckd_dialysis_004,nkf_potassium_ckd_diet,data/rag/v2/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in dialysis,"Potassium guidelines in dialysis vary by modality. Peritoneal dialysis removes more potassium than hemodialysis, often requiring less restriction or even supplementation.",Potassium guidelines for dialysis patients depend on modality (hemodialysis vs peritoneal) and lab values.,verified
ckd_dialysis_005,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,Dialysis does not clear phosphorus efficiently. Limit intake to 800-1000 mg/d and take prescribed phosphate binders with meals.,Dialysis patients require phosphorus limits (800-1000 mg) and phosphate binders with meals.,verified
ckd_dialysis_006,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,Limit fluid intake between hemodialysis sessions to ensure interdialytic weight gain stays below 3% to 5% of dry body weight.,Hemodialysis patients must limit fluid intake to keep interdialytic weight gain below 3-5% of dry weight.,verified
ckd_dialysis_007,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,"Collaborate closely with the dialysis care team to adjust diet, fluid, and binder usage based on monthly clinical lab evaluations.",Dialysis patients should coordinate care with their dialysis clinic team.,verified
ckd_unknown_001,medlineplus_ckd_diet,data/rag/v2/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Diet - Chronic Kidney Disease,General healthy diet for unspecified kidney disease focuses on lowering sodium intake and avoiding processed foods.,General kidney education emphasizes lower sodium and avoiding processed foods.,verified
ckd_unknown_002,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,Nutrient limits differ dramatically between non-dialysis CKD stages (protein restriction) and dialysis stages (protein loading). Stage must be identified.,CKD nutritional rules differ dramatically by stage and dialysis status.,verified
ckd_unknown_003,kdigo_2024_ckd_guideline,data/rag/v2/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,15,Chapter 1,Providing accurate eGFR or doctor's staging diagnosis is necessary to receive stage-appropriate nutritional guidance.,CKD patients should provide stage/eGFR data to receive safe recommendations.,verified
ckd_unknown_004,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Stages 1-5 overview,"When stage is unknown, avoid specific potassium, phosphorus, or fluid restrictions to prevent adverse nutritional outcomes.",Unspecified CKD guidance should avoid specific stage-related restrictions.,verified
gout_001,medlineplus_uric_acid_blood,data/rag/v2/raw_sources/medlineplus_uric_acid_blood.txt,html,medlineplus_uric_acid_blood.txt,,Uric Acid Blood,"High uric acid levels (hyperuricemia) do not mean you have gout. Gout is diagnosed only when uric acid crystals form in joints, causing acute inflammation.","Asymptomatic hyperuricemia is a risk factor, but does not constitute a gout diagnosis.",verified
gout_002,medlineplus_gout_encyclopedia,data/rag/v2/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Purines,Uric acid is made when the body breaks down purines in food. Limiting purine-rich foods helps prevent uric acid crystals from depositing in joints.,Purine restriction reduces uric acid production and joint deposition in gout.,verified
gout_003,medlineplus_gout_encyclopedia,data/rag/v2/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,"Avoid organ meats like liver, kidneys, and sweetbreads because they contain very high levels of purines and can trigger acute gout attacks.",Organ meats are extremely high purine foods that gout patients must avoid.,verified
gout_004,medlineplus_gout_encyclopedia,data/rag/v2/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,"Limit red meats like beef, pork, and lamb. Moderate intake is advised, replacing them with lean poultry or plant proteins.",Gout patients should moderate red meat consumption.,verified
gout_005,medlineplus_gout,data/rag/v2/raw_sources/medlineplus_gout.txt,html,medlineplus_gout.txt,,Dietary guidelines,"Certain seafoods (sardines, herring, anchovies, shellfish) are high in purines. Gout patients should limit their intake to prevent flares.",High-purine seafoods like shellfish and sardines must be limited by gout patients.,verified
gout_006,medlineplus_gout_encyclopedia,data/rag/v2/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,"Avoid alcohol, especially beer, because it contains high purines and decreases the kidneys' ability to excrete uric acid, triggering attacks.",Alcohol (especially beer) impairs uric acid excretion and triggers gout attacks.,verified
gout_007,medlineplus_gout_encyclopedia,data/rag/v2/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,"Avoid foods and beverages sweetened with high-fructose corn syrup, as fructose metabolism stimulates purine production and raises uric acid.",Fructose-sweetened foods and drinks stimulate purine production and should be avoided in gout.,verified
gout_008,medlineplus_gout,data/rag/v2/raw_sources/medlineplus_gout.txt,html,medlineplus_gout.txt,,Dietary guidelines,Drink plenty of water (8-16 cups a day) to help flush uric acid from your body and prevent kidney stones.,Adequate hydration (2-2.5L/day) aids uric acid excretion and prevents kidney stones.,verified
gout_009,medlineplus_gout,data/rag/v2/raw_sources/medlineplus_gout.txt,html,medlineplus_gout.txt,,Dietary guidelines,"During a gout flare, restrict purines strictly and rest the affected joint. Chronic management allows a moderately restricted, balanced diet.",Diet during acute gout flares is strictly restrictive compared to chronic management.,verified
gout_010,medlineplus_gout,data/rag/v2/raw_sources/medlineplus_gout.txt,html,medlineplus_gout.txt,,Dietary guidelines,Dietary changes help but do not replace medications designed to lower uric acid levels (like allopurinol). Medication adherence is critical.,Dietary modifications do not replace pharmacotherapy (uric acid lowering drugs) in gout.,verified
obesity_001,cdc_steps_losing_weight,data/rag/v2/raw_sources/cdc_steps_losing_weight.txt,html,cdc_steps_losing_weight.txt,,Weight loss principles,"Sustainable weight management is about a lifestyle that includes healthy eating, physical activity, and behavior changes, rather than short-term diets.",Obesity management focuses on sustainable lifestyle modifications rather than quick-fix diets.,verified
obesity_002,cdc_healthy_eating_weight,data/rag/v2/raw_sources/cdc_healthy_eating_weight.txt,html,cdc_healthy_eating_weight.txt,,Portion control,"Portion control is key to managing calorie intake. Use smaller plates, measure portions, and read serving sizes on nutrition facts labels.",Portion control techniques aid calorie management for obesity.,verified
obesity_003,cdc_healthy_eating_weight,data/rag/v2/raw_sources/cdc_healthy_eating_weight.txt,html,cdc_healthy_eating_weight.txt,,Portion control,Energy density is the number of calories in a specific weight of food. Lower energy density foods (high water/fiber) help you feel full on fewer calories.,Lower energy density foods support weight loss by promoting fullness with fewer calories.,verified
obesity_004,cdc_healthy_eating_weight,data/rag/v2/raw_sources/cdc_healthy_eating_weight.txt,html,cdc_healthy_eating_weight.txt,,Portion control,Sugar-sweetened beverages contribute a lot of empty calories. Eliminating them is a simple way to create a calorie deficit.,Eliminating sugar-sweetened beverages is a key step to establish a calorie deficit for weight loss.,verified
obesity_005,cdc_steps_losing_weight,data/rag/v2/raw_sources/cdc_steps_losing_weight.txt,html,cdc_steps_losing_weight.txt,,Weight loss principles,"Physical activity is crucial for weight loss maintenance. Combined with diet, aim for 150 minutes of moderate activity weekly to sustain weight loss.",Physical activity (150 mins/week) is critical for weight loss maintenance in obesity.,verified
obesity_006,medlineplus_obesity,data/rag/v2/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Obesity overview,"Avoid extreme diets or crash starvation programs. They often lead to muscle loss and nutrient deficiencies rather than fat loss, and are unsustainable.",Extreme/fad diets are unsafe and ineffective for sustainable obesity management.,verified
obesity_007,medlineplus_obesity,data/rag/v2/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Older adults and frailty,"In older adults, weight loss must minimize muscle and bone loss. Focus on high protein and resistance exercise under clinical guidance to prevent frailty.",Obesity management in older adults must prioritize muscle retention to prevent frailty.,verified
obesity_008,medlineplus_obesity,data/rag/v2/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Eating disorders,"If weight management issues are related to eating disorders (like binge eating or bulimia), seek psychiatric or professional psychological support.",Obesity accompanied by eating disorders requires professional psychological intervention.,verified
safety_001,cdc_prevent_type2_guide,data/rag/v2/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Disclaimer,Educational health systems do not diagnose medical conditions or substitute for professional clinical diagnostic tests.,HealthyPlan is an educational tool and does not diagnose disease.,verified
safety_002,nkf_nutrition_ckd_stages_1_5,data/rag/v2/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Disclaimer,"Medication choices, dosage changes, or stopping therapy must be made solely under the direct instruction of a physician.","HealthyPlan does not prescribe, change, or stop medications.",verified
safety_003,medlineplus_emergency_hypoglycemia,data/rag/v2/raw_sources/medlineplus_emergency_hypoglycemia.txt,html,medlineplus_emergency_hypoglycemia.txt,,Emergency steps,"Severe hypoglycemia (confusion, convulsions, unconsciousness) is a medical emergency. Do not put anything in the mouth if unconscious; call emergency services immediately.",Severe hypoglycemia with unconsciousness is a medical emergency requiring urgent EMS.,verified
safety_004,medlineplus_emergency_chest_pain,data/rag/v2/raw_sources/medlineplus_emergency_chest_pain.txt,html,medlineplus_emergency_chest_pain.txt,,Emergency signs,Severe chest pain accompanied by shortness of breath indicates a potential cardiac emergency. Rest immediately and contact emergency medical services.,Severe chest pain and dyspnea are indicators of cardiac emergency requiring immediate EMS.,verified
safety_005,medlineplus_emergency_fainting,data/rag/v2/raw_sources/medlineplus_emergency_fainting.txt,html,medlineplus_emergency_fainting.txt,,Emergency response,"Loss of consciousness indicates severe cerebral perfusion compromise. Place the patient supine, elevate legs, loosen clothing, and seek urgent medical help.",Loss of consciousness is a medical emergency requiring supine positioning and urgent EMS.,verified
safety_006,medlineplus_emergency_stroke,data/rag/v2/raw_sources/medlineplus_emergency_stroke.txt,html,medlineplus_emergency_stroke.txt,,FAST signs,"Sudden onset of facial drooping, arm weakness, or speech difficulty (FAST) are key signs of acute stroke requiring immediate emergency transport.",Sudden focal neurological deficits (stroke signs) require immediate emergency transfer.,verified
safety_007,medlineplus_obesity,data/rag/v2/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Special populations,"Special populations (pregnancy, pediatric, multi-morbidities) have highly complex and conflicting dietary needs that cannot be generalized. Clinical oversight is mandatory.","Pregnancy, pediatric, and multi-morbid patients are excluded from automatic RAG recommendations.",verified
diabetes_t1_010,niddk_diabetes_diet,data/rag/v2_1/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Travel guidelines,"When traveling across time zones, work with your doctor to adjust insulin schedules. Keep insulin in hand luggage; checked baggage can drop below freezing.",Type 1 diabetes travel requires insulin planning and thermal protection.,verified
diabetes_t1_011,niddk_type1_diabetes,data/rag/v2_1/raw_sources/niddk_type1_diabetes.txt,html,what-is-diabetes/type-1-diabetes.txt,,Sick-day management,"Never stop taking insulin on sick days, as illness stress raises blood sugar. Check blood glucose and ketones every 4 hours.",Type 1 diabetics must continue insulin and monitor ketones during illness.,verified
diabetes_t1_012,ada_alcohol_safety,data/rag/v2_1/raw_sources/ada_alcohol_safety.txt,html,ada_alcohol_safety.txt,,Alcohol safety rules,"Alcohol blocks the liver from making glucose, increasing hypoglycemia risk up to 24 hours. Eat carbs when drinking.","Type 1 diabetics must drink alcohol in moderation, monitor blood sugar, and eat carbohydrates to prevent delayed hypoglycemia.",verified
diabetes_t1_013,ada_understanding_carbs,data/rag/v2_1/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Counting Carbs,Accurate carb counting via measuring tools is necessary to match insulin doses to meals and minimize postprandial glucose swings.,Type 1 diabetics need precise food measuring tools for carbohydrate counting.,verified
diabetes_t1_014,ada_understanding_carbs,data/rag/v2_1/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Medication timing guidelines,Skipping meals after rapid-acting insulin injection causes severe acute hypoglycemia within 1 to 2 hours.,Skipping meals after fast-acting insulin is contraindicated in type 1 diabetes.,verified
diabetes_t1_015,niddk_type1_diabetes,data/rag/v2_1/raw_sources/niddk_type1_diabetes.txt,html,what-is-diabetes/type-1-diabetes.txt,,Emergency signs,Severe hypoglycemia under 54 mg/dL requires glucagon injection and emergency services call.,Severe hypoglycemia in type 1 diabetes requires glucagon rescue and emergency response.,verified
diabetes_t1_016,ada_understanding_carbs,data/rag/v2_1/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,Hypoglycemia,"Rule of 15: consume 15g fast-acting carbs, wait 15 minutes, recheck. Repeat if blood sugar is under 70 mg/dL.",The Rule of 15 is the standard treatment for conscious hypoglycemia under 70 mg/dL.,verified
diabetes_t2_011,niddk_diabetes_diet,data/rag/v2_1/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Physical activity,Combine aerobic exercise with resistance training 2 to 3 times a week to build muscle and improve insulin sensitivity in type 2 diabetes.,Resistance training combined with aerobic exercise improves glycemic control in type 2 diabetes.,verified
diabetes_t2_012,ada_meal_planning,data/rag/v2_1/raw_sources/ada_meal_planning.txt,html,ada_meal_planning.html,,Eating out,"When dining out with type 2 diabetes, request vegetable substitutes for starchy sides and opt for grilled/steamed dishes rather than fried ones.",Type 2 diabetics should make smart dietary adjustments when dining out.,verified
diabetes_t2_013,ada_understanding_carbs,data/rag/v2_1/raw_sources/ada_understanding_carbs.txt,html,ada_understanding_carbs.txt,,More Resources,"Read nutrition labels to check total carbs, fiber, and added sugars per serving size in type 2 diabetes diet planning.",Type 2 diabetics must read food labels for total carbohydrate and fiber contents.,verified
diabetes_t2_014,ada_eating_healthy,data/rag/v2_1/raw_sources/ada_eating_healthy.txt,html,ada_eating_healthy.txt,,General nutrition,"Healthy breakfasts for type 2 diabetes should focus on high protein and fiber (eggs, oatmeal with nuts, unsweetened yogurt) to prevent morning blood sugar spikes.","High-protein, high-fiber breakfast options help type 2 diabetics stabilize morning glucose.",verified
diabetes_t2_015,ada_eating_healthy,data/rag/v2_1/raw_sources/ada_eating_healthy.txt,html,ada_eating_healthy.txt,,General nutrition,"Opt for low-glycemic, low-calorie snacks like almonds, walnuts, cucumber slices, or a small apple between main meals in type 2 diabetes.","Type 2 diabetics should select nutrient-dense, low-glycemic snacks.",verified
diabetes_t2_016,cdc_diabetes_meal_planning,data/rag/v2_1/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Diabetes and hypertension,Type 2 diabetes comorbid with hypertension increases stroke risk significantly. Maintain blood pressure targets under 130/80 mmHg.,Managing comorbid diabetes and hypertension requires strict sodium limits and BP targets.,verified
diabetes_t2_017,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,20,Chapter 1,Type 2 diabetes is the leading cause of CKD. Screen annually with eGFR and albuminuria from the time of diagnosis.,Type 2 diabetics require annual screening for kidney damage (eGFR and albuminuria).,verified
diabetes_t2_018,niddk_diabetes_diet,data/rag/v2_1/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Medication caution,Sulfonylureas in type 2 diabetes carry a higher risk of hypoglycemia compared to metformin. Patients must monitor and apply rule of 15.,Sulfonylurea medications in type 2 diabetes increase the risk of hypoglycemia.,verified
diabetes_t2_019,niddk_diabetes_diet,data/rag/v2_1/raw_sources/niddk_diabetes_diet.txt,html,niddk_diabetes_diet.txt,,Physical activity,"Perform at least 150 minutes of moderate aerobic activity per week, spread over at least 3 days, with no more than 2 consecutive days without exercise.",Type 2 diabetics should engage in 150 minutes/week of aerobic activity spread over at least 3 days.,verified
diabetes_t2_020,cdc_diabetes_meal_planning,data/rag/v2_1/raw_sources/cdc_diabetes_meal_planning.txt,html,cdc_diabetes_meal_planning.txt,,Sodium guidelines,"Limit sodium to under 2300 mg/day, or 1500 mg/day if hypertension is present, to mitigate cardiovascular risks in type 2 diabetes.",Sodium restriction to under 2300 mg/day is recommended for type 2 diabetes management.,verified
diabetes_unknown_005,ada_eating_healthy,data/rag/v2_1/raw_sources/ada_eating_healthy.txt,html,ada_eating_healthy.txt,,General nutrition,"When diabetes type is unknown, emphasize safe general dietary guidelines like non-starchy vegetables, and avoid specific carb-insulin adjustments.",Unspecified diabetes guidance should focus on general healthy eating and avoid specific therapeutic rules.,verified
diabetes_unknown_006,niddk_type1_diabetes,data/rag/v2_1/raw_sources/niddk_type1_diabetes.txt,html,what-is-diabetes/type-1-diabetes.txt,,General overview,Type 1 diabetes is autoimmune beta cell destruction (absolute insulin lack); type 2 is insulin resistance. Type specification is essential for safety.,Autoimmune nature of type 1 diabetes vs lifestyle factors of type 2 dictates therapeutic differences.,verified
diabetes_unknown_007,niddk_type1_diabetes,data/rag/v2_1/raw_sources/niddk_type1_diabetes.txt,html,what-is-diabetes/type-1-diabetes.txt,,Medication caution,Medication initiation or dosage adjustments are contraindicated without clinical diagnostic typing. Consultation with a provider is mandatory.,Medication changes are contraindicated for patients with unspecified diabetes classification.,verified
prediabetes_009,cdc_prevent_type2_guide,data/rag/v2_1/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,Liquid sugars like milk tea and soda cause rapid glucose spikes and worsen insulin resistance. Substitute with water or unsweetened tea.,Prediabetics should eliminate sugar-sweetened beverages to improve insulin response.,verified
prediabetes_010,cdc_prevent_type2_guide,data/rag/v2_1/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Physical activity,"A short 10-15 minute walk immediately after meals helps muscles absorb glucose, flattening postprandial blood sugar spikes.",Postprandial light walking assists immediate glucose clearance in prediabetes.,verified
prediabetes_011,nih_sleep_weight,data/rag/v2_1/raw_sources/nih_sleep_weight.txt,html,nih_sleep_weight.txt,,Hormonal controls,"Sleep restriction alters hunger hormones and raises cortisol levels, worsening insulin resistance and weight control.",Adequate sleep (7-8 hours) is necessary to maintain normal insulin sensitivity in prediabetes.,verified
prediabetes_012,cdc_prevent_type2_guide,data/rag/v2_1/raw_sources/cdc_prevent_type2_guide.txt,html,cdc_prevent_type2_guide.txt,,Dietary recommendations,Do not eliminate carbohydrates completely. Extreme carb cutting is unsustainable and causes muscle loss. Focus on complex carbohydrates and portions.,Prediabetics should focus on carbohydrate quality and moderation rather than total elimination.,verified
prediabetes_013,cdc_prediabetes_lifestyle_change,data/rag/v2_1/raw_sources/cdc_prediabetes_lifestyle_change.txt,html,cdc_prediabetes_lifestyle_change.txt,,Risk factors,"Progression risk is higher for sedentary individuals, overweight, family history of diabetes, or age >=45. Regular testing is required.",High-risk prediabetic populations require proactive screening and lifestyle change.,verified
prediabetes_014,cdc_prediabetes_monitoring,data/rag/v2_1/raw_sources/cdc_prediabetes_monitoring.txt,html,cdc_prediabetes_monitoring.txt,,HbA1c tests,Measure HbA1c every 6 to 12 months to monitor long-term average glucose and evaluate lifestyle intervention efficacy.,HbA1c monitoring every 6-12 months tracks prediabetes progression and management.,verified
prediabetes_015,cdc_prediabetes_lifestyle_change,data/rag/v2_1/raw_sources/cdc_prediabetes_lifestyle_change.txt,html,cdc_prediabetes_lifestyle_change.txt,,Lifestyle Change Program,"Structured programs offer guidance on weight loss, dietary modifications, and physical activity to prevent type 2 diabetes.",Structured lifestyle intervention programs support sustained prediabetes reversal.,verified
hypertension_010,aha_shaking_salt_habit,data/rag/v2_1/raw_sources/aha_shaking_salt_habit.txt,html,aha_shaking_salt_habit.txt,,Condiments,"Condiments like soy sauce are high in sodium, with a single tablespoon containing a substantial portion of the daily sodium allowance.",Soy sauce is a concentrated sodium source that hypertensive patients should restrict.,verified
hypertension_011,cdc_sodium_health,data/rag/v2_1/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Processed food sources,"Instant noodles and their seasoning packets contain high amounts of sodium, often exceeding recommended daily limits in a single serving.",Instant noodles contain high sodium levels; seasoning packets must be restricted.,verified
hypertension_012,cdc_sodium_health,data/rag/v2_1/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Processed food sources,Processed meats like sausages and deli meats contain high levels of sodium added during processing. Fresh meats are preferred.,Processed meats are rich in sodium and should be minimized by hypertensive individuals.,verified
hypertension_013,aha_sodium_per_day,data/rag/v2_1/raw_sources/aha_sodium_per_day.txt,html,aha_sodium_per_day.txt,,Warnings on processed foods,"Check sodium content on nutrition facts labels. A %DV of 5% or less is low in sodium, while 20% or more is high.",Hypertensive patients should select packaged foods with a %DV of sodium under 5%.,verified
hypertension_014,aha_dash_diet,data/rag/v2_1/raw_sources/aha_dash_diet.txt,html,aha_dash_diet.txt,,DASH diet principles,"The DASH eating plan is rich in fruits, vegetables, whole grains, and low-fat dairy. It restricts saturated fat and sodium to 1500-2300 mg.",The DASH eating plan is clinically proven to reduce blood pressure; limits sodium to 1500-2300 mg.,verified
hypertension_015,medlineplus_caffeine,data/rag/v2_1/raw_sources/medlineplus_caffeine.txt,html,medlineplus_caffeine.txt,,Vasoconstriction,Caffeine causes a temporary increase in blood pressure by blocking vasodilating hormones. Uncontrolled hypertensive patients should avoid high intake.,Caffeine causes transient blood pressure elevations; restrict when BP is uncontrolled.,verified
hypertension_016,aha_shaking_salt_habit,data/rag/v2_1/raw_sources/aha_shaking_salt_habit.txt,html,aha_shaking_salt_habit.txt,,Dietary patterns,Limit alcohol to prevent rise in blood pressure. Recommendations are max 2 drinks/day for men and 1 drink/day for women.,Alcohol restriction to under 2 drinks/day (men) and 1 drink/day (women) protects blood pressure.,verified
hypertension_017,cdc_sodium_health,data/rag/v2_1/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Sodium mechanisms,"Aerobic exercise for 30-45 minutes, 5 days a week, lowers systolic blood pressure by 5-8 mmHg over time.",Regular aerobic exercise reduces systolic blood pressure by 5-8 mmHg.,verified
hypertension_018,cdc_sodium_health,data/rag/v2_1/raw_sources/cdc_sodium_health.txt,html,cdc_sodium_health.txt,,Sodium mechanisms,"For accurate home blood pressure readings, sit quietly for 5 minutes, arm at heart level, feet flat on the floor, no caffeine or tobacco prior.",Proper sitting posture and relaxation are required for accurate home blood pressure measurement.,verified
ckd_g1_006,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,48,Chapter 3,"In patients with CKD and diabetes, optimization of glycemic control (glycemic target) is required to reduce progression risk in early stage G1.",Glycemic control targets protect the kidneys from microvascular damage in early stage G1 CKD.,verified
ckd_g1_007,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,52,Chapter 3,Hyperlipidemia in CKD stage G1 increases atherosclerotic renal artery stenosis and cardiovascular risks. Saturated fat restriction is advised.,Saturated fat restriction mitigates cardiovascular risks in CKD Stage G1.,verified
ckd_g1_008,nkf_nutrition_ckd_stages_1_5,data/rag/v2_1/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Stages 1-5 overview,"At CKD stage G1, drink adequate fluids (1.5-2 liters) to aid waste excretion unless contraindicated by cardiac conditions.",Adequate hydration is encouraged in early CKD stage G1 to support renal clearance.,verified
ckd_g2_006,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,44,Chapter 3,"In patients with CKD stage G2 and hypertension, ACE inhibitors or ARBs are recommended as first-line agents due to renal protective effects.",First-line ACEi/ARB therapy provides renal protection in CKD Stage G2 with hypertension.,verified
ckd_g2_007,medlineplus_ckd_diet,data/rag/v2_1/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Diet and medication,Avoid herbal supplements and unprescribed traditional medicines in CKD stage G2 to prevent direct renal tubular toxicity.,Unprescribed herbal supplements are contraindicated in CKD Stage G2 to prevent renal toxicity.,verified
ckd_g2_008,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,58,Chapter 3,Recommend regular physical activity (minimum 150 minutes/week) in patients with CKD stage G2 to lower cardiovascular risk factors.,Regular physical activity supports cardiovascular health in CKD Stage G2.,verified
ckd_g3a_008,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,"In adults with CKD G3a non-dialysis, suggest a protein intake of 0.6-0.8 g/kg body weight/day from high-quality sources to mitigate uremic load.",CKD Stage G3a protein target is a moderate 0.6-0.8 g/kg/day.,verified
ckd_g3a_009,medlineplus_ckd_diet,data/rag/v2_1/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Phosphorus in CKD,Limit inorganic phosphorus additives in CKD G3a; they are highly absorbed and contribute to hyperphosphatemia and vascular calcification.,Inorganic phosphorus food additives should be restricted in CKD Stage G3a.,verified
ckd_g3a_010,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,72,Chapter 3,Anemia screening (hemoglobin levels) is recommended annually in CKD stage G3a due to potential decline in erythropoietin production.,CKD Stage G3a patients require annual anemia screening.,verified
