condition_code,condition_name_en,condition_name_vi,condition_group,nutrient_code,nutrient_name_en,nutrient_name_vi,rule_type,rule_direction,priority,threshold_value,threshold_unit,threshold_basis,applies_when,recommendation_en,recommendation_vi,food_filter_hint,clinical_caution_en,clinical_caution_vi,source_name,source_url,evidence_level,rule_id,source_accessed_at,row_hash
kidney_stone_risk,Kidney Stone Risk,Nguy cơ sỏi thận,kidney,calcium,Calcium,Canxi,monitor,monitor,medium,1000.0,mg/day,per_day,general_adult_guidance,Maintain normal dietary calcium intake (1000-1200 mg/day) to bind oxalate in the intestines.,Duy trì lượng canxi từ chế độ ăn bình thường (1000-1200 mg/ngày) để liên kết oxalate trong ruột.,monitor_calcium,Do NOT restrict dietary calcium; low calcium intake actually increases stone risk because more oxalate is absorbed.,KHÔNG hạn chế canxi ăn vào; lượng canxi thấp thực tế lại làm tăng nguy cơ sỏi do nhiều oxalate được hấp thu hơn.,NIDDK Kidney Stones Diet,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones/eating-diet-nutrition,official_public_health_page,kidney_stone_risk_calcium_monitor,2026-07-04T09:28:54Z,550d6cd933e995feb162071e78547c00
gerd,GERD / Acid Reflux,Trào ngược dạ dày thực quản,digestive,caffeine,Caffeine,Caffeine,limit,lower,medium,,individualized,individualized,general_adult_guidance,"Limit caffeine intake (coffee, tea, soda) as it may relax the lower esophageal sphincter.","Hạn chế caffeine (cà phê, trà, soda) vì nó có thể làm giãn cơ vòng thực quản dưới.",penalize_caffeine,Caffeine sensitivity is highly individual. Adjust based on symptoms.,Độ nhạy cảm với caffeine mang tính cá nhân cao. Điều chỉnh dựa trên các triệu chứng.,NIDDK GERD Diet Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/acid-reflux-ger-gerd-adults/eating-diet-nutrition,official_public_health_page,gerd_caffeine_limit,2026-07-04T09:28:54Z,64de7ed4ca80059a5579458e361b301f
gerd,GERD / Acid Reflux,Trào ngược dạ dày thực quản,digestive,total_fat,Total Fat,Tổng lượng chất béo,moderate,lower,medium,,individualized,individualized,general_adult_guidance,"Limit high-fat foods and large fatty meals, which delay stomach emptying.",Hạn chế thực phẩm nhiều chất béo và các bữa ăn nhiều dầu mỡ lớn gây chậm làm rỗng dạ dày.,penalize_high_fat,Fatty meals increase reflux symptoms by prolonging gastric distension.,Các bữa ăn nhiều béo làm tăng triệu chứng trào ngược do kéo dài thời gian căng dạ dày.,NIDDK GERD Eating Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/acid-reflux-ger-gerd-adults/eating-diet-nutrition,official_public_health_page,gerd_total_fat_moderate,2026-07-04T09:28:54Z,1e184ce999cfd7f6ce3d4896f0a0dcc3
gerd,GERD / Acid Reflux,Trào ngược dạ dày thực quản,digestive,alcohol,Alcohol,Rượu / Cồn,limit,lower,medium,0.0,g/day,per_day,general_adult_guidance,Limit or avoid alcohol consumption to reduce lower esophageal sphincter relaxation.,Hạn chế hoặc tránh đồ uống có cồn để giảm sự giãn nở cơ thực quản dưới.,avoid_alcohol,Alcohol acts directly on the esophageal lining and aggravates reflux.,Cồn tác động trực tiếp lên niêm mạc thực quản và làm trầm trọng thêm chứng trào ngược.,NIDDK Acid Reflux Guidance,https://www.niddk.nih.gov/health-information/digestive-diseases/acid-reflux-ger-gerd-adults/eating-diet-nutrition,official_public_health_page,gerd_alcohol_limit,2026-07-04T09:28:54Z,a270db81a5beabe935fc843b6a8906fe
constipation,Constipation,Táo bón,digestive,fiber,Dietary Fiber,Chất xơ,prioritize,higher,high,25.0,g/day,per_day,general_adult_guidance,"Increase dietary fiber intake to help create softer, bulkier stools.",Tăng lượng chất xơ trong khẩu phần ăn để giúp phân mềm và xốp hơn.,prioritize_high_fiber,Fiber must be accompanied by adequate hydration to prevent worsening obstruction.,Chất xơ phải đi kèm với uống đủ nước để ngăn táo bón nặng hơn.,NIDDK Constipation Diet Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/eating-diet-nutrition,official_public_health_page,constipation_fiber_prioritize,2026-07-04T09:28:54Z,1db66ce1d38044fba33a789347cbe2f9
constipation,Constipation,Táo bón,digestive,water,Water / Fluids,Nước,prioritize,higher,high,2000.0,ml/day,per_day,general_adult_guidance,Ensure a minimum water intake of 2.0 liters daily to keep stools hydrated and promote bowel movement.,Đảm bảo uống ít nhất 2.0 lít nước mỗi ngày để giữ ẩm cho phân và hỗ trợ nhu động ruột.,prioritize_hydration,"If you have fluid-restricting disorders (heart/kidney failure), consult a doctor first.","Nếu bạn mắc các bệnh hạn chế dịch (suy tim/thận), hãy hỏi ý kiến bác sĩ trước.",NIDDK Constipation Nutrition,https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/eating-diet-nutrition,official_public_health_page,constipation_water_prioritize,2026-07-04T09:28:54Z,e8e88d08127bdbddbce0c7f6e1dd361b
ibs_sensitive_digestion,Irritable Bowel Syndrome / Sensitive Digestion,Hội chứng ruột kích thích / Tiêu hóa nhạy cảm,digestive,caffeine,Caffeine,Caffeine,moderate,lower,medium,,individualized,individualized,general_adult_guidance,"Moderate or limit caffeine intake, which can stimulate gut motility and trigger spasms.","Tiết chế hoặc giới hạn lượng caffeine, chất có thể kích thích nhu động ruột và gây co thắt.",penalize_caffeine,Track symptoms to detect individual triggers.,Theo dõi các triệu chứng để phát hiện các tác nhân kích thích cá nhân.,NIDDK IBS Diet Guide,https://www.niddk.nih.gov/health-information/digestive-diseases/irritable-bowel-syndrome-ibs/eating-diet-nutrition,official_public_health_page,ibs_sensitive_digestion_caffeine_moderate,2026-07-04T09:28:54Z,4ba794a1388e29ea086838bfa75dd0ab
osteoporosis_risk,Osteoporosis Risk,Nguy cơ loãng xương,bone_health,calcium,Calcium,Canxi,prioritize,higher,high,1200.0,mg/day,per_day,general_adult_guidance,Ensure adequate dietary calcium intake (1000-1200 mg/day depending on age/gender) to preserve bone mineral density.,Đảm bảo lượng canxi từ chế độ ăn uống (1000-1200 mg/ngày tùy theo tuổi/giới) để bảo vệ mật độ xương.,prioritize_calcium,Do not exceed the upper limit (2000-2500 mg/day) due to cardiovascular and kidney stone risks. Patients with CKD require dietitian guidance.,Không vượt quá giới hạn tối đa (2000-2500 mg/ngày) do nguy cơ tim mạch và sỏi thận. Bệnh nhân suy thận cần hướng dẫn của chuyên gia.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,official_public_health_page,osteoporosis_risk_calcium_prioritize,2026-07-04T09:28:54Z,6b1a35f996ea90eb6bbd66021c36b0ee
osteoporosis_risk,Osteoporosis Risk,Nguy cơ loãng xương,bone_health,vitamin_d,Vitamin D,Vitamin D,prioritize,higher,high,15.0,mcg/day,per_day,general_adult_guidance,Prioritize vitamin D rich foods (and safe sun exposure) to facilitate calcium absorption (600-800 IU/day).,Ưu tiên thực phẩm giàu vitamin D (và tiếp xúc nắng an toàn) để tăng hấp thu canxi (600-800 IU/ngày).,prioritize_vitamin_d,High-dose supplementation requires medical monitoring of blood levels.,Việc bổ sung thực phẩm chức năng liều cao cần được theo dõi lâm sàng.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,official_public_health_page,osteoporosis_risk_vitamin_d_prioritize,2026-07-04T09:28:54Z,e3804a478b997ab68f13b6f0d6897a16
osteoporosis_risk,Osteoporosis Risk,Nguy cơ loãng xương,bone_health,sodium,Sodium,Natri,limit,lower,low,2300.0,mg/day,per_day,general_adult_guidance,"Moderate sodium intake, as high sodium intake can increase urinary calcium excretion.","Tiết chế lượng natri nạp vào, do ăn nhiều muối có thể làm tăng đào thải canxi qua nước tiểu.",penalize_high_sodium,Lowering sodium intake is beneficial for both blood pressure and calcium balance.,Giảm muối có lợi cho cả kiểm soát huyết áp và duy trì canxi.,NIH Osteoporosis Guidelines,https://www.bones.nih.gov/health-info/bone/osteoporosis/overview,official_public_health_page,osteoporosis_risk_sodium_limit,2026-07-04T09:28:54Z,612598aa36e09a616b542af9da414cb5
anemia_iron_deficiency,Iron Deficiency Anemia,Thiếu máu thiếu sắt,blood_health,iron,Iron,Sắt,prioritize,higher,high,18.0,mg/day,per_day,blood_test_dependent,Prioritize iron-rich foods (heme and non-heme iron) along with vitamin C sources to enhance absorption.,Ưu tiên thực phẩm giàu sắt (sắt heme và phi-heme) cùng với nguồn vitamin C để tăng hấp thu.,prioritize_iron_sources,Iron deficiency must be diagnosed via blood work. High doses of iron supplements should only be taken under medical supervision.,Thiếu máu thiếu sắt phải được chẩn đoán qua xét nghiệm máu. Việc bổ sung sắt liều cao phải theo chỉ định bác sĩ.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,official_public_health_page,anemia_iron_deficiency_iron_prioritize,2026-07-04T09:28:54Z,5d94bf6b54403a656e69a381806b708d
anemia_iron_deficiency,Iron Deficiency Anemia,Thiếu máu thiếu sắt,blood_health,folate,Folate / Vitamin B9,Folate / Vitamin B9,prioritize,higher,medium,400.0,mcg/day,per_day,general_adult_guidance,Ensure adequate folate intake (400 mcg DFE/day) to support healthy red blood cell production.,Đảm bảo bổ sung đủ folate (400 mcg DFE/ngày) để hỗ trợ quá trình sản sinh hồng cầu khỏe mạnh.,prioritize_folate,"Folate deficiency can cause megaloblastic anemia, similar to vitamin B12 deficiency.","Thiếu folate có thể gây ra bệnh thiếu máu hồng cầu to, tương tự như thiếu hụt vitamin B12.",NIH Office of Dietary Supplements Folate,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,official_public_health_page,anemia_iron_deficiency_folate_prioritize,2026-07-04T09:28:54Z,3f826f690c813cd1d409fe38663f339d
anemia_iron_deficiency,Iron Deficiency Anemia,Thiếu máu thiếu sắt,blood_health,vitamin_b12,Vitamin B12,Vitamin B12,prioritize,higher,medium,2.4,mcg/day,per_day,general_adult_guidance,Prioritize foods rich in vitamin B12 (animal products or fortified foods) to support red blood cell formation.,Ưu tiên thực phẩm giàu vitamin B12 (sản phẩm từ động vật hoặc thực phẩm tăng cường) để hỗ trợ tạo hồng cầu.,prioritize_b12,Vegans and older adults are at higher risk of B12 deficiency and may require supplemental support.,Người ăn chay trường và người lớn tuổi có nguy cơ thiếu B12 cao hơn và có thể cần thực phẩm bổ sung.,NIH Office of Dietary Supplements Vitamin B12,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,official_public_health_page,anemia_iron_deficiency_vitamin_b12_prioritize,2026-07-04T09:28:54Z,265d53cda885847d4a45f5b3a25ba9da
vitamin_b12_deficiency_risk,Vitamin B12 Deficiency Risk,Nguy cơ thiếu Vitamin B12,blood_health,vitamin_b12,Vitamin B12,Vitamin B12,prioritize,higher,high,2.4,mcg/day,per_day,general_adult_guidance,Maintain dietary intake of vitamin B12 to prevent neurological issues and anemia.,Duy trì lượng vitamin B12 để tránh các vấn đề về thần kinh và thiếu máu.,prioritize_b12,Strict vegetarians must consume fortified foods or supplements to meet this requirement.,Người ăn chay nghiêm ngặt phải dùng thực phẩm tăng cường hoặc chất bổ sung để đáp ứng nhu cầu này.,NIH ODS Vitamin B12 Fact Sheet,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,official_public_health_page,vitamin_b12_deficiency_risk_vitamin_b12_prioritize,2026-07-04T09:28:54Z,bbbde99098d279d1036c4cafa58a3f5b
general_healthy_adult,General Healthy Adult,Người lớn khỏe mạnh bình thường,general,sodium,Sodium,Natri,limit,lower,medium,2000.0,mg/day,per_day,general_adult_guidance,Limit daily sodium intake to under 2000 mg to prevent blood pressure increases and stroke risk.,Giới hạn natri hàng ngày dưới 2000 mg để ngừa tăng huyết áp và giảm nguy cơ đột quỵ.,penalize_high_sodium,Public health target. Individual needs may differ. Consult a physician if diagnosed with cardiorenal disease.,Mục tiêu y tế công cộng. Nhu cầu cá nhân có thể khác. Hãy hỏi bác sĩ nếu mắc bệnh tim thận.,WHO Sodium Guidelines,https://www.who.int/publications/i/item/9789241504836,official_guideline,general_healthy_adult_sodium_limit,2026-07-04T09:28:54Z,d2d90dd8ec863b0417de59dca1623da2
general_healthy_adult,General Healthy Adult,Người lớn khỏe mạnh bình thường,general,added_sugar,Added Sugar,Đường thêm vào,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,Restrict added sugars to under 10% of total daily energy intake for weight control.,Hạn chế đường thêm vào dưới 10% tổng năng lượng nạp vào hàng ngày để kiểm soát cân nặng.,penalize_added_sugar,A further reduction to below 5% provides additional health benefits.,Giảm thêm xuống dưới 5% sẽ mang lại nhiều lợi ích sức khỏe hơn.,WHO Sugar Intake Guidelines,https://www.who.int/publications/i/item/9789241549028,official_guideline,general_healthy_adult_added_sugar_limit,2026-07-04T09:28:54Z,0fda9e5a6d74608d02a9df22cefa8bc8
general_healthy_adult,General Healthy Adult,Người lớn khỏe mạnh bình thường,general,saturated_fat,Saturated Fat,Chất béo bão hòa,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,"Limit saturated fat to under 10% of total daily calories, replacing with polyunsaturated fats.","Giới hạn chất béo bão hòa dưới 10% tổng lượng calo hàng ngày, thay bằng chất béo chưa bão hòa đa.",penalize_saturated_fat,AHA recommends 5-6% for high-risk cholesterol populations.,AHA khuyến nghị mức 5-6% cho các đối tượng có cholesterol nguy cơ cao.,WHO Guidelines on Dietary Fats,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,official_guideline,general_healthy_adult_saturated_fat_limit,2026-07-04T09:28:54Z,51d4d475cb7de6b9cb8ffe2513337bbd
general_healthy_adult,General Healthy Adult,Người lớn khỏe mạnh bình thường,general,trans_fat,Trans Fat,Chất béo chuyển hóa,avoid,avoid,high,0.0,g/day,per_day,general_adult_guidance,Avoid artificial trans fats. Total trans fat should be less than 1% of total daily energy.,Tránh chất béo chuyển hóa nhân tạo. Tổng chất béo chuyển hóa nên dưới 1% năng lượng hàng ngày.,avoid_trans_fat,Avoid hydrogenated margarine and partially hydrogenated frying fats.,Tránh bơ thực vật hydro hóa và chất béo chiên hydro hóa một phần.,WHO Fats Recommendation,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,official_guideline,general_healthy_adult_trans_fat_avoid,2026-07-04T09:28:54Z,c7ebe8ced36cb65eed864bc3a81aae3a
general_healthy_adult,General Healthy Adult,Người lớn khỏe mạnh bình thường,general,fiber,Dietary Fiber,Chất xơ,prioritize,higher,medium,25.0,g/day,per_day,general_adult_guidance,Consume at least 25 g of dietary fiber daily from whole plant foods.,Tiêu thụ ít nhất 25 g chất xơ hàng ngày từ thực phẩm nguồn gốc thực vật nguyên bản.,prioritize_high_fiber,Adequate hydration is necessary when dietary fiber intake is high.,Cần uống đủ nước khi tiêu thụ khẩu phần ăn nhiều chất xơ.,WHO Healthy Diet Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,official_guideline,general_healthy_adult_fiber_prioritize,2026-07-04T09:28:54Z,306b84dea59bbfd30771f1378af07668
general_healthy_adult,General Healthy Adult,Người lớn khỏe mạnh bình thường,general,water,Water / Fluids,Nước,prioritize,higher,medium,2000.0,ml/day,per_day,general_adult_guidance,Maintain a daily intake of at least 2 liters of fluid (water) to support hydration and cellular metabolic functions.,Duy trì lượng chất lỏng (nước) tối thiểu 2 lít mỗi ngày để đảm bảo cấp nước và hoạt động trao đổi chất.,prioritize_hydration,"Individual fluid requirements depend on climate, activity level, and clinical status.","Nhu cầu nước thực tế phụ thuộc vào khí hậu, mức vận động và tình trạng bệnh lý.",Dietary Guidelines for Americans,https://www.dietaryguidelines.gov/,official_guideline,general_healthy_adult_water_prioritize,2026-07-04T09:28:54Z,0739d2bcfa2a417eb5a4506716ef0695
elderly_nutrition_risk,Elderly Nutrition Risk,Nguy cơ dinh dưỡng ở người cao tuổi,general,protein,Protein,Đạm,prioritize,higher,high,1.0,g/kg/day,individualized,general_adult_guidance,Prioritize high-quality protein (1.0 to 1.2 g/kg body weight) to prevent sarcopenia (muscle loss) in older adults.,Ưu tiên đạm chất lượng cao (1.0 - 1.2 g/kg cân nặng) để ngừa suy giảm cơ bắp ở người lớn tuổi.,prioritize_protein,Sarcopenia is a major risk factor. Do NOT prescribe high protein if the user has chronic kidney disease.,Suy giảm cơ bắp là một nguy cơ lớn. KHÔNG áp dụng đạm cao nếu người dùng bị bệnh thận mạn tính.,NHS Elderly Eating Guidance,https://www.nhs.uk/live-well/eat-well/,local_reference,elderly_nutrition_risk_protein_prioritize,2026-07-04T09:28:54Z,c4f516324eeeeaf306fe78f1cbb7524a
elderly_nutrition_risk,Elderly Nutrition Risk,Nguy cơ dinh dưỡng ở người cao tuổi,general,calcium,Calcium,Canxi,prioritize,higher,medium,1200.0,mg/day,per_day,general_adult_guidance,Ensure daily calcium intake of 1200 mg/day for older adults to prevent accelerated bone loss.,Đảm bảo lượng canxi 1200 mg/ngày cho người cao tuổi để ngăn loãng xương tiến triển.,prioritize_calcium,Total intake from foods and supplements should not exceed upper limits.,Tổng canxi từ thực phẩm và viên uống không nên vượt quá giới hạn tối đa.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,official_public_health_page,elderly_nutrition_risk_calcium_prioritize,2026-07-04T09:28:54Z,29815e9976f5fda00d6fbebef481f403
elderly_nutrition_risk,Elderly Nutrition Risk,Nguy cơ dinh dưỡng ở người cao tuổi,general,vitamin_d,Vitamin D,Vitamin D,prioritize,higher,medium,20.0,mcg/day,per_day,general_adult_guidance,Ensure a vitamin D intake of 20 mcg (800 IU) daily to support calcium absorption in older adults.,Đảm bảo lượng vitamin D nạp vào đạt 20 mcg (800 IU) mỗi ngày để hỗ trợ hấp thu canxi ở người già.,prioritize_vitamin_d,Individual baseline deficiency should be evaluated via serum tests.,Tình trạng thiếu hụt cá nhân nên được đánh giá qua xét nghiệm máu.,NIH Office of Dietary Supplements,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,official_public_health_page,elderly_nutrition_risk_vitamin_d_prioritize,2026-07-04T09:28:54Z,5c808b21fe642119e45f6a76902874f1
underweight_malnutrition_risk,Underweight / Malnutrition Risk,Thiếu cân / Nguy cơ suy dinh dưỡng,general,calories,Calories,Calo,prioritize,higher,high,,kcal/day,individualized,weight_loss_goal,"Prioritize nutrient-dense, calorie-dense foods to support safe weight gain and energy balance.",Ưu tiên các thực phẩm giàu dinh dưỡng và đậm đặc calo để hỗ trợ tăng cân an toàn và cân bằng năng lượng.,prioritize_calories,Severe malnutrition must be treated clinically to avoid refeeding syndrome. CKD patients must NOT over-consume protein.,Suy dinh dưỡng nặng phải được điều trị lâm sàng để tránh hội chứng nuôi ăn lại. Bệnh nhân suy thận KHÔNG được nạp quá nhiều đạm.,NHS Malnutrition Eating Guide,https://www.nhs.uk/conditions/malnutrition/,local_reference,underweight_malnutrition_risk_calories_prioritize,2026-07-04T09:28:54Z,90843de8080017a066e47656e3f69120
gout,Gout,Bệnh gout,general,purine,Purine,Nhân purin,limit,lower,high,,individualized,individualized,doctor_or_dietitian_required,"Limit high-purine foods (such as red meat, organ meats, and certain seafoods) to avoid uric acid spikes.","Hạn chế các thực phẩm giàu purine (như thịt đỏ, nội tạng và một số loại hải sản) để tránh bùng phát axit uric.",penalize_high_purine,"General guidance. Uric acid levels depend heavily on excretion. Avoid severe caloric restrictions, which can elevate uric acid.",Hướng dẫn chung. Nồng độ axit uric phụ thuộc nhiều vào đào thải. Tránh nhịn ăn quá mức vì có thể gây tăng axit uric.,NIAMS NIH Gout Info,https://www.niams.nih.gov/health-topics/gout,official_public_health_page,gout_purine_limit,2026-07-04T09:28:54Z,11a0813d5b34aebe6eae50304bfe8ca7
gout,Gout,Bệnh gout,general,alcohol,Alcohol,Rượu / Cồn,avoid,avoid,high,0.0,g/day,per_day,doctor_or_dietitian_required,"Avoid beer and spirits, which impair uric acid excretion and are high in guanosine (beer).","Tránh xa bia và rượu mạnh, những chất cản trở đào thải axit uric và chứa nhiều guanosine (ở bia).",avoid_alcohol,Alcohol dehydration increases susceptibility to acute gouty arthritis attacks.,Mất nước do cồn làm tăng khả năng bùng phát cơn viêm khớp gout cấp tính.,NIH Gout Guidelines,https://www.niams.nih.gov/health-topics/gout,official_public_health_page,gout_alcohol_avoid,2026-07-04T09:28:54Z,6cef28f0e5f8a592f67caa881783c73c
gout,Gout,Bệnh gout,general,added_sugar,Added Sugar,Đường thêm vào,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,general_adult_guidance,"Limit high-fructose corn syrup and added sugars, which stimulate purine synthesis.",Giới hạn lượng fructose cao và đường thêm vào vì chúng thúc đẩy quá trình tổng hợp purine.,penalize_added_sugar,"Fructose metabolism increases intracellular AMP, leading to uric acid production.","Chuyển hóa fructose làm tăng AMP nội bào, kích thích tạo axit uric.",NIH Gout Diet Info,https://www.niams.nih.gov/health-topics/gout,official_public_health_page,gout_added_sugar_limit,2026-07-04T09:28:54Z,2abd473c9f485a1289de80e9f3b94d30
high_uric_acid,High Uric Acid,Axit uric máu cao,general,water,Water / Fluids,Nước,prioritize,higher,high,2500.0,ml/day,per_day,general_adult_guidance,Prioritize high water consumption (2.5+ liters daily) to promote renal clearance of uric acid.,Ưu tiên uống nhiều nước (2.5+ lít mỗi ngày) để tăng cường đào thải axit uric qua thận.,prioritize_hydration,Ensure fluid intake is distributed throughout the day.,Đảm bảo lượng nước nạp vào được chia đều trong ngày.,NIH Gout and Uric Acid Info,https://www.niams.nih.gov/health-topics/gout,official_public_health_page,high_uric_acid_water_prioritize,2026-07-04T09:28:54Z,01cc3ae09046ecef368f64c99b2326a1
diabetes_type_2,Type 2 Diabetes,Tiểu đường type 2,metabolic,fiber,Dietary Fiber,Chất xơ,prioritize,higher,high,25.0,g/day,per_day,diabetes_meal_planning,Prioritize high-fiber foods to improve glycemic response and insulin sensitivity.,Ưu tiên thực phẩm giàu chất xơ để cải thiện phản hồi đường huyết và độ nhạy insulin.,prioritize_high_fiber,AHA/ADA recommend at least 14g of fiber per 1000 kcal.,AHA/ADA khuyến nghị ít nhất 14g chất xơ cho mỗi 1000 kcal.,ADA Standards of Care,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes,professional_association_guidance,diabetes_type_2_fiber_prioritize,2026-07-04T09:28:54Z,3a322627e829a479902b25cb4e18ddc7
diabetes_type_2,Type 2 Diabetes,Tiểu đường type 2,metabolic,saturated_fat,Saturated Fat,Chất béo bão hòa,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,diabetes_meal_planning,Limit saturated fat to less than 10% of calories to reduce cardiovascular risk in diabetic patients.,Giới hạn chất béo bão hòa dưới 10% năng lượng để giảm nguy cơ tim mạch ở bệnh nhân tiểu đường.,penalize_saturated_fat,Replacing saturated fat with monounsaturated/polyunsaturated fats improves lipid profile.,Thay chất béo bão hòa bằng béo chưa bão hòa đơn/đa giúp cải thiện bộ mỡ máu.,ADA Saturated Fat Advice,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes,professional_association_guidance,diabetes_type_2_saturated_fat_limit,2026-07-04T09:28:54Z,433597449efe50e8c0c15f1f43df7416
diabetes_type_2,Type 2 Diabetes,Tiểu đường type 2,metabolic,calories,Calories,Calo,monitor,monitor,medium,,kcal/day,individualized,weight_loss_goal,Monitor calories to assist with weight management. A 5% weight loss improves glycemic control.,Theo dõi calo để hỗ trợ kiểm soát cân nặng. Giảm 5% cân nặng giúp cải thiện kiểm soát đường huyết.,monitor_calories,"Calorie targets should support steady, gradual weight loss without crash dieting.","Mục tiêu calo phải hỗ trợ giảm cân từ từ, đều đặn, không giảm cân cấp tốc.",ADA Weight Management Statement,https://professional.diabetes.org/consensus-statements/nutrition-therapy-adults-diabetes-or-prediabetes,professional_association_guidance,diabetes_type_2_calories_monitor,2026-07-04T09:28:54Z,ee5e6bf78166077701338ac7a2c9d578
obesity,Obesity,Béo phì,weight_management,added_sugar,Added Sugar,Đường thêm vào,limit,lower,high,10.0,percent_calories,percent_of_daily_calories,weight_loss_goal,Restrict added sugar intake to manage caloric density and visceral fat levels.,Hạn chế lượng đường thêm vào để kiểm soát mật độ calo và mức mỡ nội tạng.,penalize_added_sugar,Ensure healthy caloric deficit guidelines are followed.,Đảm bảo tuân thủ các hướng dẫn thâm hụt calo lành mạnh.,CDC Obesity Nutrition Guideline,https://www.cdc.gov/healthyweight/healthy_eating/index.html,official_public_health_page,obesity_added_sugar_limit,2026-07-04T09:28:54Z,eb04cb612c5bda0dacc253b265ab18fa
obesity,Obesity,Béo phì,weight_management,saturated_fat,Saturated Fat,Chất béo bão hòa,limit,lower,medium,10.0,percent_calories,percent_of_daily_calories,weight_loss_goal,Moderate saturated fat intake to prevent cardiometabolic risk associated with obesity.,Tiết chế lượng chất béo bão hòa để phòng ngừa nguy cơ chuyển hóa tim mạch liên quan đến béo phì.,penalize_saturated_fat,"Caloric deficit is priority, but fat quality matters for heart health.","Thâm hụt calo là ưu tiên, nhưng chất lượng chất béo cũng quan trọng cho tim mạch.",WHO Healthy Diet Plan,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,official_guideline,obesity_saturated_fat_limit,2026-07-04T09:28:54Z,b24a00d92a84f027a758c98a960cdb10
obesity,Obesity,Béo phì,weight_management,fiber,Dietary Fiber,Chất xơ,prioritize,higher,medium,25.0,g/day,per_day,weight_loss_goal,Prioritize high-fiber foods to support satiety and delay gastric emptying.,Ưu tiên thực phẩm giàu chất xơ để tăng cảm giác no và làm chậm làm rỗng dạ dày.,prioritize_high_fiber,Fiber helps naturally regulate appetite and reduce daily calorie consumption.,Chất xơ giúp điều hòa sự thèm ăn một cách tự nhiên và giảm calo nạp vào.,USDA Dietary Guidelines,https://www.dietaryguidelines.gov/,official_guideline,obesity_fiber_prioritize,2026-07-04T09:28:54Z,3f3f689dc5def0f798d671be39d034fc
obesity,Obesity,Béo phì,weight_management,protein,Protein,Đạm,prioritize,higher,low,,individualized,individualized,weight_loss_goal,Prioritize protein foods to support lean mass preservation and satiety during weight loss.,Ưu tiên thực phẩm giàu đạm để hỗ trợ bảo tồn khối cơ và tạo cảm giác no khi giảm cân.,prioritize_protein,Ensure protein intake is balanced. CKD patients must NOT overconsume protein.,Đảm bảo lượng đạm cân bằng. Bệnh nhân suy thận KHÔNG được ăn quá nhiều đạm.,Dietary Guidelines for Americans,https://www.dietaryguidelines.gov/,official_guideline,obesity_protein_prioritize,2026-07-04T09:28:54Z,37acc39b85397a859f083f69177a437d
gerd,GERD / Acid Reflux,Trào ngược dạ dày thực quản,digestive,caffeine,Caffeine,Caffeine,monitor,monitor,medium,,individualized,individualized,general_adult_guidance,Monitor how caffeinated beverages affect your symptoms.,Theo dõi xem các loại đồ uống có caffeine ảnh hưởng thế nào đến triệu chứng của bạn.,monitor_caffeine,Avoid completely only if caffeine is a documented trigger for your acid reflux.,Chỉ tránh hoàn toàn nếu caffeine được chứng minh là tác nhân gây trào ngược của bạn.,NIDDK GERD Info,https://www.niddk.nih.gov/health-information/digestive-diseases/acid-reflux-ger-gerd-adults/eating-diet-nutrition,official_public_health_page,gerd_caffeine_monitor,2026-07-04T09:28:54Z,e7ff446c418add752afb042fff2c3f9f
