food_id,source_name,name_vi,name_en,category_vi,category_en,item_type,processing_level,recommendation_priority,water_g,kcal_per_100g,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,iron_mg,magnesium_mg,zinc_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,purine_mg
FOOD000688,SR Legacy,"Heo, tươi, nội tạng và phụ phẩm, tail, chín, ninh","Pork, fresh, variety meats and by-products, tail, cooked, simmered",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,46.7,396.0,17.0,35.8,0.0,0.0,,25.0,157.0,47.0,14.0,0.79,7.0,1.64,129.0,12.45,,
FOOD000689,SR Legacy,"Heo, tươi, thăn, giữa thăn (sườn cốt lết), có xương, chín, áp chảo","Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,62.17,195.0,29.56,7.66,0.0,0.0,0.0,99.0,378.0,268.0,51.0,0.99,24.0,3.42,78.0,2.597,0.026,
FOOD000690,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (sườn cốt lết), có xương, chín, áp chảo","Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,61.14,211.0,28.84,9.73,0.0,0.0,0.0,88.0,335.0,237.0,45.0,0.88,21.0,3.03,77.0,2.563,0.025,
FOOD000691,SR Legacy,"Heo, tươi, thăn, nạc vai (sườn cốt lết), có xương, chín, áp chảo","Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,58.01,256.0,25.02,16.56,0.0,0.0,0.0,85.0,318.0,226.0,48.0,0.84,20.0,2.88,82.0,4.266,0.119,
FOOD000692,SR Legacy,"Heo, ướp muối bảo quản, giăm bông, siêu nạc và loại thường, đóng hộp, chưa làm nóng","Pork, cured, ham, extra lean and regular, canned, unheated",Thịt heo và sản phẩm từ thịt heo,Pork Products,prepared_food,processed,medium,71.12,144.0,17.97,7.46,0.0,0.0,0.0,1276.0,334.0,207.0,6.0,0.9,16.0,1.84,38.0,2.45,,
FOOD000693,SR Legacy,"Heo, ướp muối bảo quản, giăm bông, siêu nạc và loại thường, đóng hộp, nướng/quay","Pork, cured, ham, extra lean and regular, canned, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,66.52,167.0,20.94,8.43,0.49,0.0,0.0,1068.0,351.0,221.0,7.0,1.07,20.0,2.32,41.0,2.81,,
FOOD000694,SR Legacy,"Heo, tươi, thăn, thăn lưng trên (sườn cốt lết), không xương, chín, áp chảo","Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,62.62,196.0,29.36,7.86,0.0,0.0,0.0,86.0,376.0,283.0,12.0,0.82,25.0,2.26,70.0,3.058,0.044,
FOOD000695,SR Legacy,"Heo, tươi, hỗn hợp của đã lọc mỡ các phần thịt bán lẻ (đùi, thăn, vai, và sườn non), sống","Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",Thịt heo và sản phẩm từ thịt heo,Pork Products,raw_ingredient,unprocessed,high,65.11,216.0,18.95,14.95,0.0,0.0,,55.0,335.0,200.0,19.0,0.86,21.0,2.01,67.0,5.28,,
FOOD000696,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (sườn cốt lết hoặc miếng nướng), không xương, sống","Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",Thịt heo và sản phẩm từ thịt heo,Pork Products,raw_ingredient,unprocessed,high,66.15,211.0,19.9,14.01,0.0,0.0,0.0,42.0,384.0,193.0,5.0,0.71,20.0,1.57,60.0,4.86,,
FOOD000697,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (sườn cốt lết), không xương, chín, om","Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,58.15,255.0,26.29,15.79,0.0,0.0,,40.0,387.0,172.0,5.0,0.92,17.0,2.07,73.0,6.12,,
FOOD000698,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (sườn cốt lết), không xương, chín, nướng lửa trên","Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,53.37,260.0,27.63,15.76,0.0,0.0,,62.0,401.0,237.0,28.0,0.77,26.0,2.26,82.0,5.79,,
FOOD000699,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (sườn cốt lết), không xương, chín, áp chảo","Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, pan-fried",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,56.34,273.0,25.82,18.05,0.0,0.0,0.0,50.0,428.0,228.0,11.0,0.73,24.0,2.04,73.0,6.72,,
FOOD000700,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (sườn cốt lết), không xương, chín, áp chảo","Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,60.86,224.0,27.68,11.8,0.0,0.0,0.0,52.0,454.0,237.0,5.0,0.78,27.0,2.14,70.0,4.3,,
FOOD000701,SR Legacy,"Heo, tươi, thăn, phần giữa sườn (miếng nướng), không xương, chín, nướng/quay","Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,60.61,214.0,28.81,10.13,0.0,0.0,,50.0,363.0,222.0,6.0,1.0,24.0,2.83,83.0,3.54,,
FOOD000702,SR Legacy,"Heo, tươi, thăn, sườn kiểu đồng quê, sống","Pork, fresh, loin, country-style ribs, separable lean and fat, raw",Thịt heo và sản phẩm từ thịt heo,Pork Products,raw_ingredient,unprocessed,high,68.22,189.0,19.34,11.82,0.0,0.0,0.0,63.0,318.0,193.0,22.0,0.85,21.0,2.78,74.0,2.37,0.067,
FOOD000703,SR Legacy,"Heo, tươi, thăn, sườn kiểu đồng quê, chín, om","Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,53.9,273.0,26.49,17.71,0.0,0.0,0.0,58.0,288.0,202.0,34.0,1.34,23.0,4.23,103.0,6.302,0.153,
FOOD000704,SR Legacy,"Heo, tươi, thăn, sườn kiểu đồng quê, có xương, chín, nướng/quay","Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,48.38,359.0,21.75,29.46,0.0,0.0,0.0,52.0,322.0,214.0,25.0,1.0,22.0,2.2,91.0,10.689,0.048,
FOOD000705,SR Legacy,"Heo, tươi, thăn, thăn mông (sườn cốt lết), không xương, chín, om","Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,65.78,171.0,28.41,5.47,0.0,0.0,0.0,56.0,411.0,291.0,11.0,0.71,25.0,2.01,80.0,1.87,0.008,
FOOD000706,SR Legacy,"Heo, tươi, thăn, thăn mông (sườn cốt lết), không xương, chín, nướng lửa trên","Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,65.98,170.0,28.19,5.53,0.0,0.0,0.0,65.0,420.0,292.0,11.0,0.87,27.0,2.15,76.0,1.785,0.019,
FOOD000707,SR Legacy,"Heo, tươi, thăn, thăn mông (miếng nướng), không xương, chín, nướng/quay","Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,62.82,192.0,29.62,7.32,0.0,0.0,0.0,66.0,398.0,304.0,13.0,0.66,27.0,2.2,84.0,2.528,0.04,
FOOD000708,SR Legacy,"Heo, tươi, thăn, thăn mông (sườn cốt lết hoặc miếng nướng), không xương, sống","Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",Thịt heo và sản phẩm từ thịt heo,Pork Products,raw_ingredient,unprocessed,high,74.3,121.0,22.81,2.59,0.0,0.0,0.0,63.0,354.0,251.0,9.0,0.56,23.0,1.72,63.0,0.906,0.007,
FOOD000709,SR Legacy,"Heo, tươi, xay, sống","Pork, fresh, ground, raw",Thịt heo và sản phẩm từ thịt heo,Pork Products,raw_ingredient,unprocessed,high,61.06,263.0,16.88,21.19,0.0,0.0,,56.0,287.0,175.0,14.0,0.88,19.0,2.2,72.0,7.87,,
FOOD000710,SR Legacy,"Heo, tươi, xay, chín","Pork, fresh, ground, cooked",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,52.75,297.0,25.69,20.77,0.0,0.0,0.0,73.0,362.0,226.0,22.0,1.29,24.0,3.21,94.0,7.72,,
FOOD000711,SR Legacy,"Heo, tươi, thăn, thăn nội, chín, nướng lửa trên","Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,61.09,201.0,29.86,8.11,0.0,0.0,,64.0,444.0,290.0,5.0,1.39,35.0,2.89,94.0,2.93,,
FOOD000712,SR Legacy,"Heo, tươi, thăn, thăn nội, chín, nướng/quay","Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,69.11,147.0,26.04,3.96,0.0,0.0,0.0,57.0,419.0,265.0,6.0,1.15,29.0,2.41,73.0,1.358,0.038,
FOOD000713,SR Legacy,"Heo, tươi, hỗn hợp của đã lọc mỡ các phần thịt bán lẻ (thăn và vai nạc vai), chín","Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,59.43,235.0,26.07,13.66,0.0,0.0,0.0,55.0,345.0,222.0,20.0,0.93,24.0,2.56,83.0,4.703,0.058,
FOOD000714,SR Legacy,"Heo, tươi, hỗn hợp của đã lọc mỡ các phần thịt bán lẻ (thăn và vai nạc vai), sống","Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",Thịt heo và sản phẩm từ thịt heo,Pork Products,raw_ingredient,unprocessed,high,72.23,144.0,21.23,5.88,0.0,0.0,,54.0,384.0,209.0,17.0,0.88,23.0,1.99,60.0,2.03,,
FOOD000715,SR Legacy,"Heo, tươi, hỗn hợp của đã lọc mỡ các phần thịt bán lẻ (thăn và vai nạc vai), chín","Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,minimally_processed,high,60.3,211.0,29.47,9.44,0.0,0.0,,57.0,377.0,234.0,22.0,1.07,26.0,2.87,85.0,3.34,,
FOOD000716,SR Legacy,"HORMEL, Cure 81 giăm bông","HORMEL, Cure 81 Ham",Thịt heo và sản phẩm từ thịt heo,Pork Products,basic_food,minimally_processed,high,74.25,106.0,18.43,3.59,0.21,,0.0,1038.0,319.0,,4.0,0.8,20.0,2.0,51.0,1.17,,
FOOD000717,SR Legacy,HORMEL Canadian kiểu thịt xông khói,HORMEL Canadian Style Bacon,Thịt heo và sản phẩm từ thịt heo,Pork Products,basic_food,minimally_processed,high,72.95,122.0,16.88,4.94,1.87,,1.43,1016.0,279.0,,6.0,0.9,19.0,1.8,49.0,1.83,,
FOOD000718,SR Legacy,"Heo, tươi, thăn, thăn lưng trên (sườn cốt lết), không xương, có bổ sung dung dịch, chín, áp chảo không dầu","Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, pan-broiled",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,64.49,169.0,28.95,5.0,0.0,0.0,0.0,209.0,517.0,320.0,10.0,0.63,28.0,2.02,75.0,1.797,0.03,
FOOD000719,SR Legacy,"Heo, tươi, thăn, thăn lưng trên (sườn cốt lết), không xương, có bổ sung dung dịch, chín, áp chảo không dầu","Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,62.52,190.0,28.35,7.66,0.0,0.0,0.0,205.0,512.0,317.0,10.0,0.63,28.0,1.98,75.0,2.725,0.087,
FOOD000720,SR Legacy,"Heo, ướp muối bảo quản, thịt xông khói, chín, nướng","Pork, cured, bacon, cooked, baked",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,12.52,548.0,35.73,43.27,1.35,0.0,0.0,2193.0,539.0,506.0,10.0,1.49,30.0,3.36,107.0,14.187,0.0,
FOOD000721,SR Legacy,"Heo, ướp muối bảo quản, giăm bông -- nước thêm, mông, có xương, đã làm nóng, nướng/quay","Pork, cured, ham -- water added, rump, bone-in, separable lean only, heated, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,beverage,processed,medium,70.92,121.0,21.41,3.56,0.87,0.0,0.84,1150.0,250.0,246.0,8.0,0.71,18.0,1.81,62.0,1.254,0.032,
FOOD000722,SR Legacy,"Heo, ướp muối bảo quản, giăm bông -- nước thêm, mông, có xương, chưa làm nóng","Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated",Thịt heo và sản phẩm từ thịt heo,Pork Products,beverage,processed,medium,77.03,95.0,15.43,3.48,0.67,0.0,0.67,1170.0,205.0,235.0,7.0,1.13,16.0,1.37,53.0,1.227,0.031,
FOOD000723,SR Legacy,"Heo, ướp muối bảo quản, giăm bông -- nước thêm, bắp chân, có xương, đã làm nóng, nướng/quay","Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,beverage,processed,medium,69.97,128.0,20.92,4.43,1.2,0.0,0.91,1060.0,241.0,216.0,9.0,1.56,18.0,3.09,65.0,1.402,0.028,
FOOD000724,SR Legacy,"Heo, ướp muối bảo quản, giăm bông -- nước thêm, lát, có xương, đã làm nóng, áp chảo không dầu","Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",Thịt heo và sản phẩm từ thịt heo,Pork Products,beverage,processed,medium,68.58,131.0,22.04,4.3,1.48,0.0,1.48,1374.0,289.0,260.0,11.0,1.12,20.0,2.29,65.0,1.439,0.035,
FOOD000725,SR Legacy,"Heo, ướp muối bảo quản, giăm bông có nước thịt tự nhiên, mông, có xương, đã làm nóng, nướng/quay","Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,beverage,processed,medium,67.9,137.0,24.14,4.25,0.48,0.0,0.48,861.0,511.0,271.0,10.0,1.04,22.0,2.5,72.0,1.418,0.035,
FOOD000726,SR Legacy,"Heo, ướp muối bảo quản, giăm bông có nước thịt tự nhiên, bắp chân, có xương, đã làm nóng, nướng/quay","Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,beverage,processed,medium,66.98,145.0,24.95,4.97,0.34,0.0,0.34,820.0,458.0,255.0,7.0,1.2,21.0,3.06,74.0,1.564,0.036,
FOOD000727,SR Legacy,"Khoai lang, chiên kiểu Pháp, crosscut, đông lạnh, chưa chế biến","Sweet Potatoes, french fried, crosscut, frozen, unprepared",Rau củ và sản phẩm từ rau củ,Vegetables and Vegetable Products,cooked_food,minimally_processed,high,60.59,209.0,1.7,11.1,25.52,3.4,6.46,214.0,244.0,,39.0,0.44,,,0.0,0.93,0.21,
FOOD000728,SR Legacy,"Khoai lang puffs, đông lạnh, chưa chế biến","Sweet Potato puffs, frozen, unprepared",Rau củ và sản phẩm từ rau củ,Vegetables and Vegetable Products,prepared_food,minimally_processed,high,63.02,161.0,1.36,3.58,30.72,1.9,7.65,250.0,248.0,,57.0,0.4,,,0.0,0.31,0.07,
FOOD000729,SR Legacy,"Mô phỏng phô mai, american hoặc Cheddar, ít cholesterol","Imitation cheese, american or cheddar, low cholesterol","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,processed,medium,38.0,390.0,25.0,32.0,1.0,0.0,1.0,670.0,55.0,530.0,705.0,0.7,30.0,3.0,15.0,5.815,,
FOOD000730,SR Legacy,"Sản phẩm thay thế kem, dạng lỏng, nhẹ","Cream substitute, liquid, light","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,minimally_processed,high,86.2,71.0,0.8,3.5,9.1,0.0,9.1,60.0,177.0,75.0,1.0,0.56,0.0,0.05,0.0,0.896,,
FOOD000731,SR Legacy,"Phô mai, monterey, ít béo","Cheese, monterey, low fat","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,processed,medium,46.0,313.0,28.2,21.6,0.7,0.0,0.56,781.0,81.0,444.0,705.0,0.72,27.0,3.0,65.0,14.04,,
FOOD000732,SR Legacy,Bánh đậu Papad,Papad,Đậu và sản phẩm từ đậu,Legumes and Legume Products,basic_food,minimally_processed,high,3.49,371.0,25.56,3.25,59.87,18.6,0.0,1745.0,1000.0,385.0,143.0,7.8,271.0,3.4,4.0,1.084,,
FOOD000733,SR Legacy,"Heo, ướp muối bảo quản, giăm bông, ít natri, nạc và mỡ, chín","Pork, cured, ham, low sodium, lean and fat, cooked",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,65.1,172.0,22.3,8.3,0.3,0.0,0.0,969.0,386.0,265.0,8.0,1.37,21.0,2.55,58.0,2.781,,
FOOD000734,SR Legacy,"Heo, ướp muối bảo quản, giăm bông, không xương, ít natri, siêu nạc, nướng/quay","Pork, cured, ham, boneless, low sodium, extra lean (approximately 5% fat), roasted",Thịt heo và sản phẩm từ thịt heo,Pork Products,cooked_food,processed,medium,67.7,145.0,20.9,5.5,1.5,0.0,0.0,969.0,287.0,196.0,8.0,1.48,14.0,2.88,53.0,1.801,,
FOOD000735,SR Legacy,"Phô mai, cottage, ít béo, 1% chất béo sữa, không natri thêm","Cheese, cottage, lowfat, 1% milkfat, no sodium added","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,processed,medium,83.5,72.0,12.4,1.0,2.7,0.0,2.7,13.0,86.0,134.0,61.0,0.14,5.0,0.38,4.0,0.632,,
FOOD000736,SR Legacy,"Lá củ cải, đóng hộp, không muối thêm","Turnip greens, canned, no salt added",Rau củ và sản phẩm từ rau củ,Vegetables and Vegetable Products,prepared_food,processed,medium,94.69,19.0,1.36,0.3,2.81,1.3,0.42,29.0,141.0,21.0,118.0,1.51,20.0,0.23,0.0,0.07,0.0,
FOOD000737,SR Legacy,"Gà tây, thịt trắng hoặc thịt sẫm màu, hun khói, chín, có vỏ, bỏ xương","Turkey, light or dark meat, smoked, cooked, with skin, bone removed",Thịt gia cầm,Poultry Products,cooked_food,processed,medium,61.7,208.0,28.1,9.7,0.0,0.0,0.0,996.0,280.0,203.0,26.0,1.79,25.0,2.96,82.0,2.831,,
FOOD000738,SR Legacy,"Phô mai, chế biến thanh trùng, Cheddar hoặc American, ít natri","Cheese, pasteurized process, cheddar or American, low sodium","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,processed,medium,42.8,376.0,22.2,31.19,1.6,0.0,0.45,7.0,162.0,745.0,616.0,0.39,22.0,2.99,94.0,19.651,,
FOOD000739,SR Legacy,"Phô mai, Thụy Sĩ, ít natri","Cheese, swiss, low sodium","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,processed,medium,37.8,374.0,28.4,27.4,3.4,0.0,1.31,14.0,111.0,605.0,961.0,0.17,36.0,3.9,92.0,17.744,,
FOOD000740,SR Legacy,"Đậu, nướng, đóng hộp, không muối thêm","Beans, baked, canned, no salt added",Đậu và sản phẩm từ đậu,Legumes and Legume Products,cooked_food,processed,medium,72.6,105.0,4.8,0.4,20.49,5.5,7.78,1.0,296.0,104.0,50.0,0.29,32.0,1.4,0.0,0.103,0.0,
FOOD000741,SR Legacy,"Jellyfish, sấy khô, có muối","Jellyfish, dried, salted","Cá, hải sản và sản phẩm liên quan",Finfish and Shellfish Products,basic_food,processed,medium,68.0,36.0,5.5,1.4,0.0,0.0,0.0,9690.0,3.0,20.0,2.0,2.27,2.0,0.42,5.0,0.273,,
FOOD000742,SR Legacy,"Phô mai, Thụy Sĩ, ít béo","Cheese, swiss, low fat","Sữa, trứng và sản phẩm liên quan",Dairy and Egg Products,basic_food,processed,medium,59.6,179.0,28.4,5.1,3.4,0.0,1.33,199.0,111.0,605.0,961.0,0.17,36.0,3.9,35.0,3.304,,
FOOD000743,SR Legacy,Gluten lúa mì,Vital wheat gluten,Ngũ cốc và mì/nui,Cereal Grains and Pasta,basic_food,minimally_processed,high,8.2,370.0,75.16,1.85,13.79,0.6,0.0,29.0,100.0,260.0,142.0,5.2,25.0,0.85,0.0,0.272,,
FOOD000745,SR Legacy,"Cá, cá thu, có muối","Fish, mackerel, salted","Cá, hải sản và sản phẩm liên quan",Finfish and Shellfish Products,basic_food,processed,medium,43.0,305.0,18.5,25.1,0.0,0.0,0.0,4450.0,520.0,254.0,66.0,1.4,60.0,1.1,95.0,7.148,,
FOOD000746,SR Legacy,"Java-mận, (jambolan), sống","Java-plum, (jambolan), raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,83.13,60.0,0.72,0.23,15.56,,,14.0,79.0,17.0,19.0,0.19,15.0,,0.0,,0.0,
FOOD000747,SR Legacy,"Jujube, sống","Jujube, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,77.86,79.0,1.2,0.2,20.23,,,3.0,250.0,23.0,21.0,0.48,10.0,0.05,0.0,,0.0,
FOOD000748,SR Legacy,"Jujube, Trung Quốc, tươi, sấy khô","Jujube, Chinese, fresh, dried",Trái cây và nước ép,Fruits and Fruit Juices,basic_food,minimally_processed,high,20.19,281.0,4.72,0.5,72.52,6.0,,5.0,217.0,68.0,63.0,5.09,,0.39,0.0,,,
FOOD000749,SR Legacy,"Kiwi, xanh, sống","Kiwifruit, green, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,83.07,61.0,1.14,0.52,14.66,3.0,8.99,3.0,312.0,34.0,34.0,0.31,17.0,0.14,0.0,0.029,0.0,
FOOD000750,SR Legacy,"Kumquats, sống","Kumquats, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,80.85,71.0,1.88,0.86,15.9,6.5,9.36,10.0,186.0,19.0,62.0,0.86,20.0,0.17,0.0,0.103,0.0,
FOOD000751,SR Legacy,"Limes, sống","Limes, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,88.26,30.0,0.7,0.2,10.54,2.8,1.69,2.0,102.0,18.0,33.0,0.6,6.0,0.11,0.0,0.022,0.0,
FOOD000752,SR Legacy,"Chanh ta nước ép, sống","Lime juice, raw",Trái cây và nước ép,Fruits and Fruit Juices,beverage,unprocessed,high,90.79,25.0,0.42,0.07,8.42,0.4,1.69,2.0,117.0,14.0,14.0,0.09,8.0,0.08,0.0,0.008,0.0,
FOOD000753,SR Legacy,"Mận khô, sấy khô (ít ẩm), chưa nấu","Prunes, dehydrated (low-moisture), uncooked",Trái cây và nước ép,Fruits and Fruit Juices,cooked_food,minimally_processed,high,4.0,339.0,3.7,0.73,89.07,,,5.0,1058.0,112.0,72.0,3.52,64.0,0.75,0.0,0.059,,
FOOD000754,SR Legacy,"Mận khô, sấy khô (ít ẩm), hầm","Prunes, dehydrated (low-moisture), stewed",Trái cây và nước ép,Fruits and Fruit Juices,basic_food,minimally_processed,high,67.99,113.0,1.23,0.24,29.7,,,2.0,353.0,37.0,24.0,1.17,21.0,0.25,0.0,0.02,,
FOOD000755,SR Legacy,"Mận, sấy khô (mận khô), chưa nấu","Plums, dried (prunes), uncooked",Trái cây và nước ép,Fruits and Fruit Juices,cooked_food,minimally_processed,high,30.92,240.0,2.18,0.38,63.88,7.1,38.13,2.0,732.0,69.0,43.0,0.93,41.0,0.44,0.0,0.088,,
FOOD000756,SR Legacy,"Quinces, sống","Quinces, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,83.8,57.0,0.4,0.1,15.3,1.9,,4.0,197.0,17.0,11.0,0.7,8.0,0.04,0.0,0.01,0.0,
FOOD000757,SR Legacy,"Nho khô, golden, không hạt","Raisins, golden, seedless",Trái cây và nước ép,Fruits and Fruit Juices,basic_food,minimally_processed,high,14.9,301.0,3.28,0.2,80.02,3.3,65.7,24.0,746.0,101.0,64.0,0.98,35.0,0.37,0.0,0.065,0.0,
FOOD000758,SR Legacy,"Nho khô, sẫm màu, không hạt","Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",Trái cây và nước ép,Fruits and Fruit Juices,basic_food,minimally_processed,high,15.46,299.0,3.3,0.25,79.32,4.5,65.18,26.0,744.0,98.0,62.0,1.79,36.0,0.36,0.0,0.094,0.001,
FOOD000759,SR Legacy,"Nho khô, có hạt","Raisins, seeded",Trái cây và nước ép,Fruits and Fruit Juices,basic_food,minimally_processed,high,16.57,296.0,2.52,0.54,78.47,6.8,,28.0,825.0,75.0,28.0,2.59,30.0,0.18,0.0,0.178,0.0,
FOOD000760,SR Legacy,"Rhubarb, đông lạnh, chưa nấu","Rhubarb, frozen, uncooked",Trái cây và nước ép,Fruits and Fruit Juices,cooked_food,minimally_processed,high,93.51,21.0,0.55,0.11,5.1,1.8,1.1,2.0,108.0,12.0,194.0,0.29,18.0,0.1,0.0,0.029,0.0,
FOOD000761,SR Legacy,"Rhubarb, đông lạnh, chín, có đường","Rhubarb, frozen, cooked, with sugar",Trái cây và nước ép,Fruits and Fruit Juices,cooked_food,minimally_processed,high,67.79,116.0,0.39,0.05,31.2,2.0,28.7,1.0,96.0,8.0,145.0,0.21,12.0,0.08,0.0,0.014,0.0,
FOOD000762,SR Legacy,"Roselle, sống","Roselle, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,86.58,49.0,0.96,0.64,11.31,,,6.0,208.0,37.0,215.0,1.48,51.0,,0.0,,0.0,
FOOD000763,SR Legacy,"Rose-táo, sống","Rose-apples, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,93.0,25.0,0.6,0.3,5.7,,,0.0,123.0,8.0,29.0,0.07,5.0,0.06,0.0,,0.0,
FOOD000764,SR Legacy,"Sugar-táo, (sweetsop), sống","Sugar-apples, (sweetsop), raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,73.23,94.0,2.06,0.29,23.64,4.4,,9.0,247.0,32.0,24.0,0.6,21.0,0.1,0.0,0.048,0.0,
FOOD000765,SR Legacy,"Feijoa, sống","Feijoa, raw",Trái cây và nước ép,Fruits and Fruit Juices,raw_ingredient,unprocessed,high,83.28,61.0,0.71,0.42,15.21,6.4,8.2,3.0,172.0,19.0,17.0,0.14,9.0,0.06,0.0,0.104,0.0,
